N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N60933	lifestyle	lifestyleroyals	Meghan Markle Always Stands the Exact Same Way at Events and There's a Specific Reason Why	SH🔎🔎K	https://assets.msn.com/labs/mind/AAGdFwT.html	[{"Label": "Meghan, Duchess of Sussex", "Type": "N", "WikidataId": "Q3304418", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Meghan Markle"]}]	[]
N2955	entertainment	entertainment-celebrity	Celebs who've been kicked off planes or sparked airport drama	The skies weren't too friendly when these stars were traveling.	https://assets.msn.com/labs/mind/AAFhZyW.html	[]	[]
N3870	news	newsus	15-year-old killed in suspected DUI crash in Placer County, CHP says	A Carmichael man was arrested on suspicion of DUI after he crashed his car Tuesday night in Placer County, killing a 15-year-old passenger in his vehicle and injuring himself and a second passenger, the California Highway Patrol said. Mirwais Azimi, 21, who suffered major injuries in the crash, was arrested at a hospital. He is facing felony DUI and vehicular manslaughter charges, CHP said. Azimi was driving east on Foresthill Road near Deadwood...	https://assets.msn.com/labs/mind/AAISy07.html	[{"Label": "Driving under the influence", "Type": "C", "WikidataId": "Q250062", "Confidence": 0.976, "OccurrenceOffsets": [32], "SurfaceForms": ["DUI"]}, {"Label": "Republican People's Party (Turkey)", "Type": "O", "WikidataId": "Q19079", "Confidence": 0.952, "OccurrenceOffsets": [60], "SurfaceForms": ["CHP"]}, {"Label": "Placer County, California", "Type": "G", "WikidataId": "Q156353", "Confidence": 0.999, "OccurrenceOffsets": [45], "SurfaceForms": ["Placer County"]}]	[{"Label": "Driving under the influence", "Type": "C", "WikidataId": "Q250062", "Confidence": 0.976, "OccurrenceOffsets": [46, 344], "SurfaceForms": ["DUI", "DUI"]}, {"Label": "Republican People's Party (Turkey)", "Type": "O", "WikidataId": "Q19079", "Confidence": 0.952, "OccurrenceOffsets": [384], "SurfaceForms": ["CHP"]}, {"Label": "Placer County, California", "Type": "G", "WikidataId": "Q156353", "Confidence": 0.999, "OccurrenceOffsets": [92], "SurfaceForms": ["Placer County"]}, {"Label": "California Highway Patrol", "Type": "O", "WikidataId": "Q2249117", "Confidence": 1.0, "OccurrenceOffsets": [203], "SurfaceForms": ["California Highway Patrol"]}]
N29893	news	newspolitics	Trump scraps plan to host G-7 at his Doral golf resort	The White House says it has chosen President Donald Trump's golf resort in Miami as the site for next year's G-7 summit. The announcement comes as the president has accused Joe Biden's family of profiting from his time in public office. (Oct. 17)	https://assets.msn.com/labs/mind/AAJ4mvo.html	[{"Label": "Group of Seven", "Type": "O", "WikidataId": "Q1764511", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["G-7"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.996, "OccurrenceOffsets": [0], "SurfaceForms": ["Trump"]}]	[{"Label": "Group of Seven", "Type": "O", "WikidataId": "Q1764511", "Confidence": 1.0, "OccurrenceOffsets": [109], "SurfaceForms": ["G-7"]}, {"Label": "Joe Biden", "Type": "P", "WikidataId": "Q6279", "Confidence": 0.999, "OccurrenceOffsets": [173], "SurfaceForms": ["Joe Biden"]}, {"Label": "Miami", "Type": "G", "WikidataId": "Q8652", "Confidence": 0.972, "OccurrenceOffsets": [75], "SurfaceForms": ["Miami"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.996, "OccurrenceOffsets": [35], "SurfaceForms": ["President Donald Trump"]}, {"Label": "White House", "Type": "F", "WikidataId": "Q35525", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["White House"]}]
N63734	news	newsus	Kansas City woman uses personal journey to help other victims of sex trafficking	KANSAS CITY, Mo. -- According to the National Human Trafficking hotline, Missouri ranks 16th in the country for the number of human trafficking cases reported. A study by UMKC revealed there is an estimated 3,541 adult women sexually exploited in Kansas City. One local woman is writing about her experience and another local group is stepping up to help. "Twenty-one years I was a victim of ...	https://assets.msn.com/labs/mind/AAJrGUL.html	[{"Label": "Kansas City, Missouri", "Type": "G", "WikidataId": "Q41819", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Kansas City"]}]	[{"Label": "Kansas City, Missouri", "Type": "G", "WikidataId": "Q41819", "Confidence": 1.0, "OccurrenceOffsets": [0, 247], "SurfaceForms": ["KANSAS CITY", "Kansas City"]}, {"Label": "Human trafficking", "Type": "C", "WikidataId": "Q181784", "Confidence": 0.955, "OccurrenceOffsets": [46, 126], "SurfaceForms": ["Human Trafficking", "human trafficking"]}, {"Label": "Missouri", "Type": "G", "WikidataId": "Q1581", "Confidence": 0.995, "OccurrenceOffsets": [13, 73], "SurfaceForms": ["Mo", "Missouri"]}, {"Label": "University of Missouri\u2013Kansas City", "Type": "O", "WikidataId": "Q940690", "Confidence": 0.96, "OccurrenceOffsets": [171], "SurfaceForms": ["UMKC"]}]
N52528	news	newsopinion	It's Time For The United States To Wage War On Mexican Drug Cartels	The slaughter of an American family in Mexico is the latest sign that violence in Mexico is out of control and the U.S. needs to step in.	https://assets.msn.com/labs/mind/AAJWEis.html	[{"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.996, "OccurrenceOffsets": [18], "SurfaceForms": ["United States"]}]	[{"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.996, "OccurrenceOffsets": [115], "SurfaceForms": ["U.S."]}, {"Label": "Mexico", "Type": "G", "WikidataId": "Q96", "Confidence": 0.994, "OccurrenceOffsets": [39, 82], "SurfaceForms": ["Mexico", "Mexico"]}]
N59449	autos	autosenthusiasts	Abandoned Subaru Dealer Adds More Cars, Including An Audi 80	A few more Subarus also join the garage.	https://assets.msn.com/labs/mind/AAHbT8u.html	[{"Label": "Subaru", "Type": "O", "WikidataId": "Q172741", "Confidence": 0.998, "OccurrenceOffsets": [10], "SurfaceForms": ["Subaru"]}, {"Label": "Audi 80", "Type": "V", "WikidataId": "Q389020", "Confidence": 1.0, "OccurrenceOffsets": [53], "SurfaceForms": ["Audi 80"]}]	[{"Label": "Subaru", "Type": "O", "WikidataId": "Q172741", "Confidence": 0.998, "OccurrenceOffsets": [11], "SurfaceForms": ["Subarus"]}]
N12188	news	newsgoodnews	School bus driver encourages her riders to stay positive	When Angel Woods climbs behind the wheel of the bus she drives for Madison City Schools, she expects her kids to be nice. And she has a few rules.	https://assets.msn.com/labs/mind/AAIp2gf.html	[]	[{"Label": "Madison City Schools", "Type": "F", "WikidataId": "Q6727910", "Confidence": 1.0, "OccurrenceOffsets": [67], "SurfaceForms": ["Madison City Schools"]}]
N18753	finance	markets	Is the World Economy Sliding Into First Recession Since 2009?	The global economy is wobbling and whether it topples over is the big question in financial markets, executive suites and the corridors of power.	https://assets.msn.com/labs/mind/AAIGvvG.html	[]	[]
N45174	lifestyle	advice	Ask The Salty Waitress: The cashier is texting instead of ringing up my order	Dear Salty, I was traveling this weekend on business and had a tight connection that meant I had to switch airport terminals. Between my two long flights, I barely had time to grab some food to tide me over. So with 5 minutes until my plane boards, I decided to grab a sandwich from a counter-service barbecue restaurant that had no line and barely anyone sitting at its tables. I figured it would be fastest, since there was no line.	https://assets.msn.com/labs/mind/AAJwgru.html	[]	[]
N34240	sports	football_nfl	Patriots cut QB Cody Kessler in flurry of roster moves	They're down to 2 QBs.	https://assets.msn.com/labs/mind/AAISHwA.html	[{"Label": "New England Patriots", "Type": "O", "WikidataId": "Q193390", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Patriots"]}, {"Label": "Cody Kessler", "Type": "P", "WikidataId": "Q14950726", "Confidence": 1.0, "OccurrenceOffsets": [16], "SurfaceForms": ["Cody Kessler"]}]	[{"Label": "Quarterback", "Type": "C", "WikidataId": "Q622747", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["QBs"]}]
N4303	tv	tvnews	'Blacklisted' Kathy Griffin Says No Regrets Over Lookalike Severed Trump Head	Kathy Griffin says she has been "blacklisted" in Hollywood - but she still doesn't have any regrets.	https://assets.msn.com/labs/mind/AAJfUVB.html	[{"Label": "Kathy Griffin", "Type": "P", "WikidataId": "Q432437", "Confidence": 1.0, "OccurrenceOffsets": [14], "SurfaceForms": ["Kathy Griffin"]}]	[{"Label": "Kathy Griffin", "Type": "P", "WikidataId": "Q432437", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Kathy Griffin"]}]
N34233	news	factcheck	Biden Says He Opposed Iraq War Effort 'Immediately,' Despite Multiple Public Remarks Supporting It	"That moment it started, I came out against the war at that moment," Biden told National Public Radio.	https://assets.msn.com/labs/mind/AAGKYsq.html	[{"Label": "Joe Biden", "Type": "P", "WikidataId": "Q6279", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Biden"]}]	[{"Label": "Joe Biden", "Type": "P", "WikidataId": "Q6279", "Confidence": 1.0, "OccurrenceOffsets": [69], "SurfaceForms": ["Biden"]}, {"Label": "NPR", "Type": "O", "WikidataId": "Q671510", "Confidence": 1.0, "OccurrenceOffsets": [80], "SurfaceForms": ["National Public Radio"]}]
N543	music	musicnews	The 'Man in Blue'? Sheriff donates Johnny Cash deputy photo	NASHVILLE, Tenn. (AP)   A sheriff has presented the Johnny Cash Museum proof that the late musician who famously cultivated an image as an outlaw was in fact granted law enforcement authority decades ago. This week, Nashville Sheriff Daron Hall gave the museum a blown-up image of Cash's September 1979 deputy sheriff commission card. It was issued by then-Davidson County Sheriff Fate Thomas and features Cash's headshot, fingerprint and signature....	https://assets.msn.com/labs/mind/AAJgSIa.html	[]	[{"Label": "Johnny Cash Museum", "Type": "N", "WikidataId": "Q56754834", "Confidence": 1.0, "OccurrenceOffsets": [52, 281], "SurfaceForms": ["Johnny Cash Museum", "Cash"]}, {"Label": "Tennessee", "Type": "G", "WikidataId": "Q1509", "Confidence": 0.998, "OccurrenceOffsets": [11], "SurfaceForms": ["Tenn"]}, {"Label": "Nashville, Tennessee", "Type": "G", "WikidataId": "Q23197", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["NASHVILLE"]}]
N29745	autos	autossuvs	2021 Hyundai Tucson Spied With Less Camo To Reveal New Front Fascia	It appears the compact crossover will get a split headlight design.	https://assets.msn.com/labs/mind/AAGoju9.html	[{"Label": "Hyundai Tucson", "Type": "V", "WikidataId": "Q482430", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Hyundai Tucson"]}]	[]
N42994	finance	finance-companies	Amazon is shipping expired baby formula and beef jerky, putting big brands at risk	Amazon's marketplace has become home to millions of sellers, making it hard for the company to prevent the sale of expired food.	https://assets.msn.com/labs/mind/AAJ4mwD.html	[{"Label": "Amazon (company)", "Type": "O", "WikidataId": "Q3884", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Amazon"]}]	[{"Label": "Amazon (company)", "Type": "O", "WikidataId": "Q3884", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Amazon"]}]
N57131	lifestyle	lifestylebuzz	Newlyweds look on in horror as the table holding their three-tier wedding cake collapses and the $550 creation topples to the floor	Chloe and Aaron Bailey were forced to watch 'in slow motion' as the table collapsed underneath their cake when they went to cut it.	https://assets.msn.com/labs/mind/AAGedX1.html	[]	[]
N28535	sports	more_sports	Watch: Michael Porter Jr. posts another strong performance	Michael Porter Jr. has played three preseason games and they have all been fantastic.	https://assets.msn.com/labs/mind/AAINtzv.html	[{"Label": "Michael Porter Jr.", "Type": "P", "WikidataId": "Q28810445", "Confidence": 1.0, "OccurrenceOffsets": [7], "SurfaceForms": ["Michael Porter Jr."]}]	[{"Label": "Michael Porter Jr.", "Type": "P", "WikidataId": "Q28810445", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Michael Porter Jr."]}]
N44238	finance	finance-savemoney	20 sales tactics that trick you into spending	For many, the activity of shopping is a stress-relieving dopamine kick that makes us feel temporarily happy with shiny new items. But little do we know that companies have spent decades studying the habits and behaviours of consumers, in the pursuit of parting us from our hard-earned money. Here are just 20 ways that brands keep us spending.	https://assets.msn.com/labs/mind/AAHxVIV.html	[]	[]
N62150	finance	financenews	Non-religious motives propel home schooling boom in Western North Carolina	Home schooling, historically driven by religious motivations, now is being propelled for a variety of non-religious reasons in Western North Carolina	https://assets.msn.com/labs/mind/AAGlfdZ.html	[{"Label": "Western North Carolina", "Type": "U", "WikidataId": "Q7988113", "Confidence": 1.0, "OccurrenceOffsets": [52], "SurfaceForms": ["Western North Carolina"]}]	[{"Label": "Western North Carolina", "Type": "U", "WikidataId": "Q7988113", "Confidence": 1.0, "OccurrenceOffsets": [127], "SurfaceForms": ["Western North Carolina"]}]
N12612	video	viral	Funny Viral Videos Show Embarrassing Dad Running Next To Daughter's Train as she Heads to College	A funny father in England was filmed running next to his daughter's train as she left for college. Buzz60's Sean Dowling has more.	https://assets.msn.com/labs/mind/AAIp3Tg.html	[{"Label": "Viral video", "Type": "C", "WikidataId": "Q1030329", "Confidence": 1.0, "OccurrenceOffsets": [6], "SurfaceForms": ["Viral Videos"]}]	[]
N59291	sports	football_ncaa	Dantonio scoffs at 'dumb--- question' about Michigan State's offensive staff	Michigan State football coach Mark Dantonio took exception with a question about his offensive staff after MSU's 38-0 loss to Wisconsin.	https://assets.msn.com/labs/mind/AAIGvy0.html	[{"Label": "Mark Dantonio", "Type": "P", "WikidataId": "Q6767270", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Dantonio"]}]	[{"Label": "Mark Dantonio", "Type": "P", "WikidataId": "Q6767270", "Confidence": 1.0, "OccurrenceOffsets": [30], "SurfaceForms": ["Mark Dantonio"]}, {"Label": "Wisconsin", "Type": "G", "WikidataId": "Q1537", "Confidence": 0.975, "OccurrenceOffsets": [126], "SurfaceForms": ["Wisconsin"]}]
N32227	travel	travelarticle	Should you move to Washington, D.C.?	Maybe!	https://assets.msn.com/labs/mind/AAGKaBB.html	[{"Label": "Washington, D.C.", "Type": "G", "WikidataId": "Q61", "Confidence": 1.0, "OccurrenceOffsets": [19], "SurfaceForms": ["Washington, D.C."]}]	[]
N34645	autos	autossuvs	12 Best SUV Lease Deals for October	Appealing Monthly Payments on Excellent SUVs This October	https://assets.msn.com/labs/mind/AAl3Xcw.html	[]	[{"Label": "Sport utility vehicle", "Type": "C", "WikidataId": "Q192152", "Confidence": 1.0, "OccurrenceOffsets": [40], "SurfaceForms": ["SUVs"]}]
N51027	sports	more_sports	Chiefs final injury report vs. Broncos: Sammy Watkins ruled out, Bashaud Breeland questionable	Watkins will miss his second straight game, while Breeland is questionable to go with a non-injury related designation.	https://assets.msn.com/labs/mind/AAISy4N.html	[{"Label": "Kansas City Chiefs", "Type": "O", "WikidataId": "Q223522", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Chiefs"]}, {"Label": "Denver Broncos", "Type": "O", "WikidataId": "Q223507", "Confidence": 1.0, "OccurrenceOffsets": [31], "SurfaceForms": ["Broncos"]}, {"Label": "Sammy Watkins (American football)", "Type": "P", "WikidataId": "Q7409856", "Confidence": 1.0, "OccurrenceOffsets": [40], "SurfaceForms": ["Sammy Watkins"]}, {"Label": "Bashaud Breeland", "Type": "P", "WikidataId": "Q16212133", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Bashaud Breeland"]}]	[{"Label": "Sammy Watkins (American football)", "Type": "P", "WikidataId": "Q7409856", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Watkins"]}]
N24866	news	newsus	The migrant caravans: She misses home and prays not to be sent back	USA-IMMIGRATION/PROFILES-FORT WORTH (PIX, TV):The migrant caravans: She misses home and prays not to be sent back	https://assets.msn.com/labs/mind/AAIzprJ.html	[]	[{"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.986, "OccurrenceOffsets": [0], "SurfaceForms": ["USA"]}, {"Label": "Fort Worth, Texas", "Type": "G", "WikidataId": "Q16558", "Confidence": 1.0, "OccurrenceOffsets": [25], "SurfaceForms": ["FORT WORTH"]}]
N19552	sports	baseball_mlb	2 years ago, the Astros won an insane Game 5 against the Dodgers in the World Series	The date October 29 doesn't mean much to Astros fans   but it probably should. *knocks on wood* With a win Tuesday night over the Nationals, Oct. 29, 2019 will be the day the Astros won their second title in three seasons. So it's only fitting that exactly two years ago, on Oct. 29, 2017, the Astros survived arguably the wildest game in World Series history to set themselves up for their first championship. Click through the gallery above to...	https://assets.msn.com/labs/mind/AAJwqAV.html	[{"Label": "Houston Astros", "Type": "O", "WikidataId": "Q848117", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Astros"]}, {"Label": "Los Angeles Dodgers", "Type": "O", "WikidataId": "Q334634", "Confidence": 1.0, "OccurrenceOffsets": [57], "SurfaceForms": ["Dodgers"]}]	[{"Label": "Houston Astros", "Type": "O", "WikidataId": "Q848117", "Confidence": 1.0, "OccurrenceOffsets": [41, 175, 294], "SurfaceForms": ["Astros", "Astros", "Astros"]}, {"Label": "Washington Nationals", "Type": "O", "WikidataId": "Q825838", "Confidence": 0.999, "OccurrenceOffsets": [130], "SurfaceForms": ["Nationals"]}]
N18760	health	wellness	30 Healthy Habits Fit People Live By	The habits you choose to do every day add up, and they can either get you closer to your goals or push you further away from them.	https://assets.msn.com/labs/mind/AAF5zLM.html	[]	[]
N18819	travel	traveltripideas	Old Saybrook   Katharine Hepburn's paradise of art and nature	Hollywood great Katharine Hepburn's lifelong love of Old Saybrook, Connecticut, and her home in the town's private community of Fenwick, right on Long Island Sound, is well-documented: In her 1991 autobiography, "Me: Stories of My Life," Hepburn declared: "To me it is -- well, as I said -- paradise." It was here she summered as a child with her beloved family, here she returned throughout her ...	https://assets.msn.com/labs/mind/AAJ46By.html	[{"Label": "Katharine Hepburn", "Type": "P", "WikidataId": "Q56016", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["Katharine Hepburn"]}, {"Label": "Old Saybrook, Connecticut", "Type": "G", "WikidataId": "Q1020609", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Old Saybrook"]}]	[{"Label": "Katharine Hepburn", "Type": "P", "WikidataId": "Q56016", "Confidence": 1.0, "OccurrenceOffsets": [16, 238], "SurfaceForms": ["Katharine Hepburn", "Hepburn"]}, {"Label": "Old Saybrook, Connecticut", "Type": "G", "WikidataId": "Q1020609", "Confidence": 1.0, "OccurrenceOffsets": [53], "SurfaceForms": ["Old Saybrook"]}, {"Label": "Fenwick, Connecticut", "Type": "G", "WikidataId": "Q753238", "Confidence": 0.969, "OccurrenceOffsets": [128], "SurfaceForms": ["Fenwick"]}, {"Label": "Long Island Sound", "Type": "L", "WikidataId": "Q867460", "Confidence": 1.0, "OccurrenceOffsets": [146], "SurfaceForms": ["Long Island Sound"]}, {"Label": "Connecticut", "Type": "G", "WikidataId": "Q779", "Confidence": 0.999, "OccurrenceOffsets": [67], "SurfaceForms": ["Connecticut"]}]
N13225	travel	traveltripideas	5 Reasons Destin Is a Great Family Vacation Destination	The calm emerald waters and family-friendly attractions of the area make Destin a top spot for a fall or winter getaway.	https://assets.msn.com/labs/mind/AAJrGXF.html	[{"Label": "Destin, Florida", "Type": "G", "WikidataId": "Q2156427", "Confidence": 1.0, "OccurrenceOffsets": [10], "SurfaceForms": ["Destin"]}]	[{"Label": "Destin, Florida", "Type": "G", "WikidataId": "Q2156427", "Confidence": 1.0, "OccurrenceOffsets": [73], "SurfaceForms": ["Destin"]}]
N24427	autos	autosnews	2020 Land Rover Defender Caught Making Final 'Ring Rounds	Isn't that The Stig behind the wheel?	https://assets.msn.com/labs/mind/AAGlgN6.html	[{"Label": "Land Rover Defender", "Type": "V", "WikidataId": "Q908027", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Land Rover Defender"]}]	[]
N60739	foodanddrink	tipsandtricks	Chefs Reveal the 14 Unexpected Items That Taste Better Refrigerated	You probably don't have potato chips or chocolate chip cookies in your fridge at home, but these chefs do. Here's why.	https://assets.msn.com/labs/mind/AAHbVSy.html	[]	[]
N24132	entertainment	gaming	The PC gaming moments which have most wowed us in the last 30 years	From space dogfights in X-Wing to contemporary battle royale goodness	https://assets.msn.com/labs/mind/AAIp3qX.html	[]	[{"Label": "Star Wars: X-Wing", "Type": "W", "WikidataId": "Q54853", "Confidence": 0.99, "OccurrenceOffsets": [24], "SurfaceForms": ["X-Wing"]}]
N52800	sports	basketball_nba	Blazers coach Terry Stotts backs Daryl Morey over Hong Kong tweet	People within the NBA community are slowly starting to back Daryl Morey after the Houston Rockets general manager started a firestorm by tweeting about the protests in Hong Kong, and Portland Trail Blazers head coach Terry Stotts is among those who supports Morey's point of view.	https://assets.msn.com/labs/mind/AAISHyT.html	[{"Label": "Daryl Morey", "Type": "P", "WikidataId": "Q5226214", "Confidence": 1.0, "OccurrenceOffsets": [33], "SurfaceForms": ["Daryl Morey"]}, {"Label": "Terry Stotts", "Type": "P", "WikidataId": "Q2348679", "Confidence": 1.0, "OccurrenceOffsets": [14], "SurfaceForms": ["Terry Stotts"]}, {"Label": "Portland Trail Blazers", "Type": "O", "WikidataId": "Q167253", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Blazers"]}, {"Label": "Hong Kong", "Type": "G", "WikidataId": "Q8646", "Confidence": 0.988, "OccurrenceOffsets": [50], "SurfaceForms": ["Hong Kong"]}]	[{"Label": "Daryl Morey", "Type": "P", "WikidataId": "Q5226214", "Confidence": 1.0, "OccurrenceOffsets": [60, 258], "SurfaceForms": ["Daryl Morey", "Morey"]}, {"Label": "Terry Stotts", "Type": "P", "WikidataId": "Q2348679", "Confidence": 1.0, "OccurrenceOffsets": [217], "SurfaceForms": ["Terry Stotts"]}, {"Label": "Portland Trail Blazers", "Type": "O", "WikidataId": "Q167253", "Confidence": 1.0, "OccurrenceOffsets": [183], "SurfaceForms": ["Portland Trail Blazers"]}, {"Label": "National Basketball Association", "Type": "O", "WikidataId": "Q155223", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["NBA"]}, {"Label": "Hong Kong", "Type": "G", "WikidataId": "Q8646", "Confidence": 0.988, "OccurrenceOffsets": [168], "SurfaceForms": ["Hong Kong"]}, {"Label": "Houston Rockets", "Type": "O", "WikidataId": "Q161345", "Confidence": 1.0, "OccurrenceOffsets": [82], "SurfaceForms": ["Houston Rockets"]}]
N49981	sports	football_nfl_videos	Can't-Miss Play: Marquez Valdes-Scantling torches Raiders' D for 74-yard TD catch and run	Green Bay Packers wide receiver Marquez Valdes-Scantling with a 74-yard touchdown catch from quarterback Aaron Rodgers.	https://assets.msn.com/labs/mind/AAJ4OD3.html	[{"Label": "Marquez Valdes-Scantling", "Type": "P", "WikidataId": "Q52290858", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Marquez Valdes-Scantling"]}, {"Label": "Touchdown", "Type": "C", "WikidataId": "Q650807", "Confidence": 0.973, "OccurrenceOffsets": [73], "SurfaceForms": ["TD"]}]	[{"Label": "Marquez Valdes-Scantling", "Type": "P", "WikidataId": "Q52290858", "Confidence": 1.0, "OccurrenceOffsets": [32], "SurfaceForms": ["Marquez Valdes-Scantling"]}, {"Label": "Aaron Rodgers", "Type": "P", "WikidataId": "Q302581", "Confidence": 1.0, "OccurrenceOffsets": [105], "SurfaceForms": ["Aaron Rodgers"]}, {"Label": "Green Bay Packers", "Type": "O", "WikidataId": "Q213837", "Confidence": 0.998, "OccurrenceOffsets": [0], "SurfaceForms": ["Green Bay Packers"]}]
N7748	sports	football_nfl	Bengals notebook: Cordy Glenn's return, Carlos Dunlap 'day to day'	Preparation for the Bengals' date with the reigning NFC champions continues.	https://assets.msn.com/labs/mind/AAJfUVo.html	[{"Label": "Cincinnati Bengals", "Type": "O", "WikidataId": "Q223511", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Bengals"]}, {"Label": "Cordy Glenn", "Type": "P", "WikidataId": "Q3693433", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Cordy Glenn"]}, {"Label": "Carlos Dunlap", "Type": "P", "WikidataId": "Q2939329", "Confidence": 1.0, "OccurrenceOffsets": [40], "SurfaceForms": ["Carlos Dunlap"]}]	[{"Label": "Cincinnati Bengals", "Type": "O", "WikidataId": "Q223511", "Confidence": 1.0, "OccurrenceOffsets": [20], "SurfaceForms": ["Bengals"]}, {"Label": "National Football Conference", "Type": "O", "WikidataId": "Q319007", "Confidence": 0.959, "OccurrenceOffsets": [52], "SurfaceForms": ["NFC"]}]
N46662	sports	football_nfl	NFL Cheerleaders	NFL Cheerleaders	https://assets.msn.com/labs/mind/AAGdYvi.html	[{"Label": "National Football League Cheerleading", "Type": "U", "WikidataId": "Q1967244", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["NFL Cheerleaders"]}]	[{"Label": "National Football League Cheerleading", "Type": "U", "WikidataId": "Q1967244", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["NFL Cheerleaders"]}]
N39718	autos	autosenthusiasts	The "$100,000 Engine" in Johnny Tran's S2000 Was Really Only Worth $8000	That $100,000 engine was one of many things the film exaggerated to pull off the Race Wars scene in The Fast and the Furious.	https://assets.msn.com/labs/mind/AAHtRiY.html	[{"Label": "Honda S2000", "Type": "V", "WikidataId": "Q913796", "Confidence": 0.998, "OccurrenceOffsets": [39], "SurfaceForms": ["S2000"]}]	[{"Label": "The Fast and the Furious (2001 film)", "Type": "W", "WikidataId": "Q155476", "Confidence": 0.965, "OccurrenceOffsets": [100], "SurfaceForms": ["The Fast and the Furious"]}, {"Label": "Race Wars (The Fast and the Furious)", "Type": "U", "WikidataId": "Q25220861", "Confidence": 1.0, "OccurrenceOffsets": [81], "SurfaceForms": ["Race Wars"]}]
N58637	autos	autosbuying	12 Best Car Deals This October	Save Money with One of October's Best Car Deals	https://assets.msn.com/labs/mind/AAl4ffd.html	[]	[]
